Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);Flag
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;3;Fish and crustaceans, molluscs and other aquatic invertebrates;1;No Quantity;0;0;;258872932;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;3;Fish and crustaceans, molluscs and other aquatic invertebrates;1;No Quantity;0;0;;184145750;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;3;Fish and crustaceans, molluscs and other aquatic invertebrates;1;No Quantity;0;0;;56817154;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;3;Fish and crustaceans, molluscs and other aquatic invertebrates;1;No Quantity;0;0;;637256034;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;3;Fish and crustaceans, molluscs and other aquatic invertebrates;1;No Quantity;0;0;;100972697;4
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;3;Fish and crustaceans, molluscs and other aquatic invertebrates;1;No Quantity;0;0;;74812105;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;3;Fish and crustaceans, molluscs and other aquatic invertebrates;1;No Quantity;0;0;;123039377;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;3;Fish and crustaceans, molluscs and other aquatic invertebrates;1;No Quantity;0;0;;1998858;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;42787832;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;4;Dairy produce birds' eggs natural honey edible products of animal origin, not elsewhere specified or included;1;No Quantity;0;0;;122969317;4
